filename,Latitude,Longitude,Depth,sample_type,Cruise,Instrument,tag1,tag2,tag3
D20240406T040345_IFCB206,35.73,-74.849,3,underway,AR82,IFCB206,site_CP11SOSM,targetdepth_surface,
D20240406T042740_IFCB206,35.73,-74.849,3,underway,AR82,IFCB206,site_CP11SOSM,targetdepth_surface,
D20240406T045134_IFCB206,35.73,-74.849,3,underway,AR82,IFCB206,site_CP11SOSM,targetdepth_surface,
D20240406T051529_IFCB206,35.73,-74.849,3,underway,AR82,IFCB206,site_CP11SOSM,targetdepth_surface,
D20240406T053925_IFCB206,35.73,-74.849,3,underway,AR82,IFCB206,site_CP11SOSM,targetdepth_surface,
D20240406T060320_IFCB206,35.73,-74.849,3,underway,AR82,IFCB206,site_CP11SOSM,targetdepth_surface,
D20240406T062715_IFCB206,35.73,-74.849,3,underway,AR82,IFCB206,site_CP11SOSM,targetdepth_surface,
D20240406T065110_IFCB206,35.73,-74.849,3,underway,AR82,IFCB206,site_CP11SOSM,targetdepth_surface,
D20240406T071505_IFCB206,35.73,-74.849,3,underway,AR82,IFCB206,site_CP11SOSM,targetdepth_surface,
D20240406T073901_IFCB206,35.73,-74.849,3,underway,AR82,IFCB206,site_CP11SOSM,targetdepth_surface,
D20240406T080256_IFCB206,35.73,-74.849,3,underway,AR82,IFCB206,site_CP11SOSM,targetdepth_surface,
D20240406T082651_IFCB206,35.73,-74.849,3,underway,AR82,IFCB206,site_CP11SOSM,targetdepth_surface,
D20240406T085045_IFCB206,35.765,-74.859,3,underway,AR82,IFCB206,,targetdepth_surface,
D20240406T091439_IFCB206,35.812,-74.887,3,underway,AR82,IFCB206,,targetdepth_surface,
D20240406T093834_IFCB206,35.832,-74.957,3,underway,AR82,IFCB206,,targetdepth_surface,
D20240406T100229_IFCB206,35.851,-75.028,3,underway,AR82,IFCB206,,targetdepth_surface,
D20240406T102624_IFCB206,35.87,-75.095,3,underway,AR82,IFCB206,,targetdepth_surface,
D20240406T105018_IFCB206,35.889,-75.159,3,underway,AR82,IFCB206,,targetdepth_surface,
D20240406T111414_IFCB206,35.907,-75.227,3,underway,AR82,IFCB206,,targetdepth_surface,
D20240406T113808_IFCB206,35.926,-75.294,3,underway,AR82,IFCB206,,targetdepth_surface,
D20240406T120202_IFCB206,35.932,-75.313,3,underway,AR82,IFCB206,,targetdepth_surface,
D20240406T122557_IFCB206,35.931,-75.313,3,underway,AR82,IFCB206,,targetdepth_surface,
D20240406T124952_IFCB206,35.93,-75.313,3,underway,AR82,IFCB206,,targetdepth_surface,
D20240406T131346_IFCB206,35.935,-75.311,3,underway,AR82,IFCB206,,targetdepth_surface,
D20240406T133740_IFCB206,35.935,-75.311,3,underway,AR82,IFCB206,,targetdepth_surface,
D20240406T140134_IFCB206,35.941,-75.258,3,underway,AR82,IFCB206,,targetdepth_surface,
D20240406T142528_IFCB206,35.944,-75.217,3,underway,AR82,IFCB206,,targetdepth_surface,
D20240406T144923_IFCB206,35.94,-75.193,3,underway,AR82,IFCB206,,targetdepth_surface,
D20240406T151317_IFCB206,35.95,-75.186,3,underway,AR82,IFCB206,,targetdepth_surface,
D20240406T153712_IFCB206,35.996,-75.142,3,underway,AR82,IFCB206,,targetdepth_surface,
D20240406T160106_IFCB206,36.033,-75.085,3,underway,AR82,IFCB206,,targetdepth_surface,
D20240406T162501_IFCB206,36.071,-75.028,3,underway,AR82,IFCB206,,targetdepth_surface,
D20240406T164856_IFCB206,36.118,-74.996,3,underway,AR82,IFCB206,,targetdepth_surface,
D20240406T171250_IFCB206,36.168,-74.963,3,underway,AR82,IFCB206,,targetdepth_surface,
D20240406T173644_IFCB206,36.172,-74.969,3,underway,AR82,IFCB206,,targetdepth_surface,
D20240406T180038_IFCB206,36.172,-74.969,3,underway,AR82,IFCB206,,targetdepth_surface,
D20240406T182434_IFCB206,36.173,-74.97,3,underway,AR82,IFCB206,,targetdepth_surface,
D20240406T184828_IFCB206,36.17,-74.968,3,underway,AR82,IFCB206,,targetdepth_surface,
D20240406T191222_IFCB206,36.141,-74.962,3,underway,AR82,IFCB206,,targetdepth_surface,
D20240406T193617_IFCB206,36.108,-74.962,3,underway,AR82,IFCB206,,targetdepth_surface,
D20240406T200012_IFCB206,36.043,-74.932,3,underway,AR82,IFCB206,,targetdepth_surface,
